{'loss': 1.3684, 'grad_norm': 18.846572875976562, 'learning_rate': 4.9775000000000004e-05, 'epoch': 0.01}
{'loss': 1.0287, 'grad_norm': 15.56189250946045, 'learning_rate': 4.9525000000000004e-05, 'epoch': 0.02}
{'loss': 0.9, 'grad_norm': 38.12635040283203, 'learning_rate': 4.9275000000000005e-05, 'epoch': 0.03}
{'loss': 0.8789, 'grad_norm': 22.848468780517578, 'learning_rate': 4.9025000000000006e-05, 'epoch': 0.04}
{'loss': 0.8059, 'grad_norm': 14.941810607910156, 'learning_rate': 4.8775000000000007e-05, 'epoch': 0.05}
{'loss': 0.7169, 'grad_norm': 19.809978485107422, 'learning_rate': 4.8525e-05, 'epoch': 0.06}
{'loss': 0.5685, 'grad_norm': 17.472515106201172, 'learning_rate': 4.8275e-05, 'epoch': 0.07}
{'loss': 0.68, 'grad_norm': 12.745640754699707, 'learning_rate': 4.8025e-05, 'epoch': 0.08}
{'loss': 0.8224, 'grad_norm': 9.460943222045898, 'learning_rate': 4.7775e-05, 'epoch': 0.09}
{'loss': 0.7527, 'grad_norm': 11.539731979370117, 'learning_rate': 4.7525e-05, 'epoch': 0.1}
{'loss': 0.6236, 'grad_norm': 40.336952209472656, 'learning_rate': 4.7275000000000004e-05, 'epoch': 0.11}
{'loss': 0.6044, 'grad_norm': 26.557058334350586, 'learning_rate': 4.7025000000000005e-05, 'epoch': 0.12}
{'loss': 0.7597, 'grad_norm': 19.321487426757812, 'learning_rate': 4.6775000000000005e-05, 'epoch': 0.13}
{'loss': 0.5998, 'grad_norm': 21.40669059753418, 'learning_rate': 4.6525e-05, 'epoch': 0.14}
{'loss': 0.5734, 'grad_norm': 14.556560516357422, 'learning_rate': 4.6275e-05, 'epoch': 0.15}
{'loss': 0.6954, 'grad_norm': 41.91389846801758, 'learning_rate': 4.6025e-05, 'epoch': 0.16}
{'loss': 0.6671, 'grad_norm': 15.206574440002441, 'learning_rate': 4.5775e-05, 'epoch': 0.17}
{'loss': 0.8034, 'grad_norm': 55.40562438964844, 'learning_rate': 4.5525e-05, 'epoch': 0.18}
{'loss': 0.6262, 'grad_norm': 11.436273574829102, 'learning_rate': 4.5275e-05, 'epoch': 0.19}
{'loss': 0.5761, 'grad_norm': 21.128767013549805, 'learning_rate': 4.5025000000000003e-05, 'epoch': 0.2}
{'loss': 0.6407, 'grad_norm': 26.18796730041504, 'learning_rate': 4.4775e-05, 'epoch': 0.21}
{'loss': 0.5939, 'grad_norm': 16.765405654907227, 'learning_rate': 4.4525e-05, 'epoch': 0.22}
{'loss': 0.5794, 'grad_norm': 15.54847240447998, 'learning_rate': 4.4275e-05, 'epoch': 0.23}
{'loss': 0.6575, 'grad_norm': 24.20463752746582, 'learning_rate': 4.4025e-05, 'epoch': 0.24}
{'loss': 0.6001, 'grad_norm': 24.971036911010742, 'learning_rate': 4.3775e-05, 'epoch': 0.25}
{'loss': 0.602, 'grad_norm': 11.683218002319336, 'learning_rate': 4.352500000000001e-05, 'epoch': 0.26}
{'loss': 0.5517, 'grad_norm': 14.134098052978516, 'learning_rate': 4.3275e-05, 'epoch': 0.27}
{'loss': 0.6299, 'grad_norm': 17.932262420654297, 'learning_rate': 4.3025e-05, 'epoch': 0.28}
{'loss': 0.6033, 'grad_norm': 12.734649658203125, 'learning_rate': 4.2775e-05, 'epoch': 0.29}
{'loss': 0.5725, 'grad_norm': 21.140249252319336, 'learning_rate': 4.2525000000000004e-05, 'epoch': 0.3}
{'loss': 0.5448, 'grad_norm': 14.458066940307617, 'learning_rate': 4.2275000000000004e-05, 'epoch': 0.31}
{'loss': 0.4763, 'grad_norm': 12.90655517578125, 'learning_rate': 4.2025000000000005e-05, 'epoch': 0.32}
{'loss': 0.629, 'grad_norm': 18.8087215423584, 'learning_rate': 4.1775000000000006e-05, 'epoch': 0.33}
{'loss': 0.5214, 'grad_norm': 13.565779685974121, 'learning_rate': 4.1525e-05, 'epoch': 0.34}
{'loss': 0.5222, 'grad_norm': 32.59040069580078, 'learning_rate': 4.1275e-05, 'epoch': 0.35}
{'loss': 0.7172, 'grad_norm': 47.45139694213867, 'learning_rate': 4.1025e-05, 'epoch': 0.36}
{'loss': 0.4925, 'grad_norm': 10.230449676513672, 'learning_rate': 4.0775e-05, 'epoch': 0.37}
{'loss': 0.5445, 'grad_norm': 19.4952335357666, 'learning_rate': 4.0525e-05, 'epoch': 0.38}
{'loss': 0.4349, 'grad_norm': 12.333975791931152, 'learning_rate': 4.0275e-05, 'epoch': 0.39}
{'loss': 0.5069, 'grad_norm': 26.357147216796875, 'learning_rate': 4.0025000000000004e-05, 'epoch': 0.4}
{'loss': 0.4289, 'grad_norm': 12.812933921813965, 'learning_rate': 3.9775e-05, 'epoch': 0.41}
{'loss': 0.5037, 'grad_norm': 18.085100173950195, 'learning_rate': 3.9525e-05, 'epoch': 0.42}
{'loss': 0.5413, 'grad_norm': 19.62950897216797, 'learning_rate': 3.9275e-05, 'epoch': 0.43}
{'loss': 0.4308, 'grad_norm': 17.405567169189453, 'learning_rate': 3.9025e-05, 'epoch': 0.44}
{'loss': 0.5153, 'grad_norm': 13.690898895263672, 'learning_rate': 3.8775e-05, 'epoch': 0.45}
{'loss': 0.4803, 'grad_norm': 14.598713874816895, 'learning_rate': 3.8525e-05, 'epoch': 0.46}
{'loss': 0.4, 'grad_norm': 11.19927978515625, 'learning_rate': 3.8275e-05, 'epoch': 0.47}
{'loss': 0.5021, 'grad_norm': 13.9071044921875, 'learning_rate': 3.8025e-05, 'epoch': 0.48}
{'loss': 0.3986, 'grad_norm': 14.385201454162598, 'learning_rate': 3.7775e-05, 'epoch': 0.49}
{'loss': 0.5414, 'grad_norm': 22.940837860107422, 'learning_rate': 3.7525e-05, 'epoch': 0.5}
{'loss': 0.5148, 'grad_norm': 17.030811309814453, 'learning_rate': 3.7275000000000005e-05, 'epoch': 0.51}
{'loss': 0.4399, 'grad_norm': 14.57638168334961, 'learning_rate': 3.7025000000000005e-05, 'epoch': 0.52}
{'loss': 0.3767, 'grad_norm': 11.389944076538086, 'learning_rate': 3.6775000000000006e-05, 'epoch': 0.53}
{'loss': 0.4197, 'grad_norm': 13.929447174072266, 'learning_rate': 3.652500000000001e-05, 'epoch': 0.54}
{'loss': 0.4179, 'grad_norm': 14.136685371398926, 'learning_rate': 3.6275e-05, 'epoch': 0.55}
{'loss': 0.5199, 'grad_norm': 9.32922649383545, 'learning_rate': 3.6025e-05, 'epoch': 0.56}
{'loss': 0.541, 'grad_norm': 14.55836009979248, 'learning_rate': 3.5775e-05, 'epoch': 0.57}
{'loss': 0.3949, 'grad_norm': 18.264385223388672, 'learning_rate': 3.5525e-05, 'epoch': 0.58}
{'loss': 0.4063, 'grad_norm': 10.462518692016602, 'learning_rate': 3.5275000000000004e-05, 'epoch': 0.59}
{'loss': 0.4327, 'grad_norm': 31.225170135498047, 'learning_rate': 3.5025000000000004e-05, 'epoch': 0.6}
{'loss': 0.4798, 'grad_norm': 25.439287185668945, 'learning_rate': 3.4775000000000005e-05, 'epoch': 0.61}
{'loss': 0.5985, 'grad_norm': 18.062936782836914, 'learning_rate': 3.4525e-05, 'epoch': 0.62}
{'loss': 0.4746, 'grad_norm': 15.051569938659668, 'learning_rate': 3.4275e-05, 'epoch': 0.63}
{'loss': 0.4333, 'grad_norm': 10.969329833984375, 'learning_rate': 3.4025e-05, 'epoch': 0.64}
{'loss': 0.4434, 'grad_norm': 12.575297355651855, 'learning_rate': 3.3775e-05, 'epoch': 0.65}
{'loss': 0.4405, 'grad_norm': 12.029296875, 'learning_rate': 3.3525e-05, 'epoch': 0.66}
{'loss': 0.4101, 'grad_norm': 29.82373809814453, 'learning_rate': 3.3275e-05, 'epoch': 0.67}
{'loss': 0.4578, 'grad_norm': 20.65983009338379, 'learning_rate': 3.3025e-05, 'epoch': 0.68}
{'loss': 0.4771, 'grad_norm': 30.628637313842773, 'learning_rate': 3.2775e-05, 'epoch': 0.69}
{'loss': 0.5278, 'grad_norm': 16.361787796020508, 'learning_rate': 3.2525e-05, 'epoch': 0.7}
{'loss': 0.5079, 'grad_norm': 11.634077072143555, 'learning_rate': 3.2275e-05, 'epoch': 0.71}
{'loss': 0.3968, 'grad_norm': 13.46883487701416, 'learning_rate': 3.2025e-05, 'epoch': 0.72}
{'loss': 0.4671, 'grad_norm': 12.914966583251953, 'learning_rate': 3.1775e-05, 'epoch': 0.73}
{'loss': 0.4876, 'grad_norm': 9.995440483093262, 'learning_rate': 3.1525e-05, 'epoch': 0.74}
{'loss': 0.478, 'grad_norm': 11.966628074645996, 'learning_rate': 3.1275e-05, 'epoch': 0.75}
{'loss': 0.3488, 'grad_norm': 20.13507080078125, 'learning_rate': 3.1025e-05, 'epoch': 0.76}
{'loss': 0.3799, 'grad_norm': 27.054622650146484, 'learning_rate': 3.0775e-05, 'epoch': 0.77}
{'loss': 0.4141, 'grad_norm': 12.079022407531738, 'learning_rate': 3.0525e-05, 'epoch': 0.78}
{'loss': 0.4483, 'grad_norm': 9.509777069091797, 'learning_rate': 3.0275000000000004e-05, 'epoch': 0.79}
{'loss': 0.3877, 'grad_norm': 18.442665100097656, 'learning_rate': 3.0025000000000005e-05, 'epoch': 0.8}
{'loss': 0.4371, 'grad_norm': 14.21886920928955, 'learning_rate': 2.9775000000000002e-05, 'epoch': 0.81}
{'loss': 0.4082, 'grad_norm': 17.052001953125, 'learning_rate': 2.9525000000000003e-05, 'epoch': 0.82}
{'loss': 0.4434, 'grad_norm': 14.392901420593262, 'learning_rate': 2.9275000000000003e-05, 'epoch': 0.83}
{'loss': 0.3551, 'grad_norm': 10.236953735351562, 'learning_rate': 2.9025e-05, 'epoch': 0.84}
{'loss': 0.393, 'grad_norm': 13.869611740112305, 'learning_rate': 2.8775e-05, 'epoch': 0.85}
{'loss': 0.3892, 'grad_norm': 22.601221084594727, 'learning_rate': 2.8525000000000002e-05, 'epoch': 0.86}
{'loss': 0.4636, 'grad_norm': 13.232873916625977, 'learning_rate': 2.8275000000000003e-05, 'epoch': 0.87}
{'loss': 0.355, 'grad_norm': 37.968017578125, 'learning_rate': 2.8025e-05, 'epoch': 0.88}
{'loss': 0.278, 'grad_norm': 10.394795417785645, 'learning_rate': 2.7775e-05, 'epoch': 0.89}
{'loss': 0.3636, 'grad_norm': 28.252504348754883, 'learning_rate': 2.7525e-05, 'epoch': 0.9}
{'loss': 0.3379, 'grad_norm': 15.982698440551758, 'learning_rate': 2.7275e-05, 'epoch': 0.91}
{'loss': 0.3258, 'grad_norm': 10.477410316467285, 'learning_rate': 2.7025e-05, 'epoch': 0.92}
{'loss': 0.3718, 'grad_norm': 13.333769798278809, 'learning_rate': 2.6775e-05, 'epoch': 0.93}
{'loss': 0.3838, 'grad_norm': 18.014720916748047, 'learning_rate': 2.6525e-05, 'epoch': 0.94}
{'loss': 0.4286, 'grad_norm': 8.607254028320312, 'learning_rate': 2.6275e-05, 'epoch': 0.95}
{'loss': 0.3655, 'grad_norm': 20.52242660522461, 'learning_rate': 2.6025e-05, 'epoch': 0.96}
{'loss': 0.3933, 'grad_norm': 19.857463836669922, 'learning_rate': 2.5775e-05, 'epoch': 0.97}
{'loss': 0.3362, 'grad_norm': 12.350242614746094, 'learning_rate': 2.5525e-05, 'epoch': 0.98}
{'loss': 0.2998, 'grad_norm': 11.104116439819336, 'learning_rate': 2.5274999999999998e-05, 'epoch': 0.99}
{'loss': 0.3857, 'grad_norm': 18.355533599853516, 'learning_rate': 2.5025e-05, 'epoch': 1.0}
{'eval_loss': 0.5056493282318115, 'eval_runtime': 34.0108, 'eval_samples_per_second': 5.88, 'eval_steps_per_second': 5.88, 'epoch': 1.0}
{'loss': 0.1904, 'grad_norm': 7.626272201538086, 'learning_rate': 2.4775000000000003e-05, 'epoch': 1.01}
{'loss': 0.1944, 'grad_norm': 5.589295864105225, 'learning_rate': 2.4525e-05, 'epoch': 1.02}
{'loss': 0.1393, 'grad_norm': 10.094941139221191, 'learning_rate': 2.4275e-05, 'epoch': 1.03}
{'loss': 0.1506, 'grad_norm': 8.54002857208252, 'learning_rate': 2.4025e-05, 'epoch': 1.04}
